YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,LanguageEase,BestPlayers,NumOwned,NumWish,NumWeightVotes,MfgPlaytime,MfgAgeRec,NumAlternates,NumExpansions,NumImplementations,IsReimplementation,Kickstarted,Rank:strategygames,Rank:abstracts,Rank:familygames,Rank:thematic,Rank:cgs,Rank:wargames,Rank:partygames,Rank:childrensgames,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,log_NumOwned,log_NumWish,log_MfgPlaytime
2020,3.0,1,1,10.0,138.0,0,145,38,2,30,10,0,12,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Medium,4.983606621708336,3.6635616461296463,3.4339872044851463
2010,1.037,2,4,4.2727272727272725,296.0,0,812,16,27,15,5,3,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,640,0,0,0,0,0,0,0,1,Low,6.70073110954781,2.833213344056216,2.772588722239781
2016,1.5,3,6,10.0,138.0,0,203,14,2,0,10,0,0,0,0,1,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.318119993844216,2.70805020110221,0.0
2005,1.7647,2,8,10.0,2.75,0,971,25,17,120,8,0,0,0,0,0,21926,21926,2216,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0,Low,6.879355804460439,3.258096538021482,4.795790545596741
2001,1.1875,2,4,4.0,138.0,0,254,11,16,30,5,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,760,0,0,0,0,0,0,0,1,Low,5.541263545158426,2.4849066497880004,3.4339872044851463
2001,1.4242,2,2,13.263157894736842,1261.0,0,386,126,33,10,18,3,0,0,0,0,21926,21926,21926,21926,21926,21926,605,21926,0,0,0,0,0,0,1,0,Low,5.958424693029782,4.844187086458591,2.3978952727983707
2021,3.25,1,4,14.0,198.0,0,50,310,4,120,14,0,0,1,1,0,21926,21926,21926,21926,21926,2109,21926,21926,0,0,1,0,0,0,0,0,High,3.9318256327243257,5.739792912179234,4.795790545596741
2004,2.2909,2,4,8.162790697674419,28.13793103448276,2,12507,950,856,90,8,4,28,1,0,0,21926,21926,21926,102,27,21926,21926,21926,1,0,0,0,1,0,0,0,High,9.434123718577732,6.85751406254539,4.51085950651685
2016,2.0,2,2,10.0,294.0,0,405,18,1,30,12,0,2,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,High,6.0063531596017325,2.9444389791664403,3.4339872044851463
2014,0.0,2,4,10.0,138.0,0,26,3,0,30,8,1,1,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,3.295836866004329,1.3862943611198906,3.4339872044851463
1979,3.5,2,2,10.0,23.0,0,174,12,4,300,12,1,0,1,0,0,21926,21926,21926,21926,21926,2962,21926,21926,0,0,1,0,0,0,0,0,Medium,5.1647859739235145,2.5649493574615367,5.707110264748875
2002,2.3197,2,4,8.0,7.0,0,2689,160,122,60,7,2,0,1,1,0,21926,21926,886,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0,Medium,7.897296472595885,5.081404364984463,4.110873864173311
1980,3.5,1,100,10.0,138.0,0,181,76,4,120,12,0,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.204006687076795,4.343805421853684,4.795790545596741
2016,0.0,3,6,10.0,138.0,0,329,19,0,15,12,0,0,1,1,0,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0,Low,5.799092654460526,2.995732273553991,2.772588722239781
2002,1.4,2,4,8.0,5.0,0,289,3,5,0,8,1,0,0,0,0,21926,21926,21926,21926,21926,21926,21926,709,0,0,0,0,0,0,0,1,Low,5.66988092298052,1.3862943611198906,0.0
